DD/MM/YYYY_HH:MM:SS(EST),IgorTime(EST),NEE(umol/m2/s),GPP_IFP(umol/m2/s),Reco_IFP(umol/m2/s),GPP_Reichstein(umol/m2/s),Reco_Reichstein(umol/m2/s),NEE_Lasslop(umol/m2/s),GPP_Lasslop(umol/m2/s),Reco_Lasslop(umol/m2/s),LAI,PAR(uE/m2/s),VPD(Pa),airT(C),SoilT(C),SoilVolumetricWaterContent(%),WindDirection(degFromNorth),Ustar(m/s)
16/09/2011_00:35:12,3398978113,8.121975941,9999,9999,-4.648456515,3.473519426,2.010259236,0.00341641,2.013675646,4.444409723,0.1125,79.69065885,6.134550292,15.22666663,36.58315971,328.77599,0.34192261
16/09/2011_01:15:12,3398980512,4.698963132,9999,9999,-1.275139872,3.423823261,1.980613004,0.010247395,1.990860399,4.443904775,0.3375,76.53749932,5.923036534,15.09196299,36.57517323,317.69455,0.31033769
16/09/2011_01:55:12,3398982912,1.803717813,9999,9999,1.679748369,3.483466182,1.97557977,0.006832208,1.982411978,4.443399817,0.225,82.8324485,5.844536993,14.98735268,36.60850687,338.474983,0.231299
16/09/2011_02:35:12,3398985313,8.856074759,9999,9999,-5.488978416,3.367096343,1.945550133,0.007970672,1.953520804,4.442894859,0.2625,70.99250492,5.575353868,14.86891406,36.6081595,321.304119,0.35868019
16/09/2011_03:15:12,3398987712,0.891709395,9999,9999,2.43476801,3.326477405,1.921983852,0.007970672,1.929954523,4.442389911,0.2625,77.78694541,5.354919653,14.76079037,36.575,334.954117,0.3953087
16/09/2011_03:55:12,3398990112,10.7588555,9999,9999,-7.341479319,3.417376176,1.911538399,0.009488517,1.921026916,4.441884963,0.3125,89.29537625,5.271205306,14.66820487,36.575,329.816669,0.47039321
16/09/2011_04:35:12,3398992513,3.680266191,9999,9999,-0.386814601,3.293451591,1.885926034,0.00986796,1.895793994,4.441379995,0.325,90.61359429,5.033966401,14.56993802,36.55815928,341.022713,0.3497633
16/09/2011_05:15:12,3398994913,6.26386669,9999,9999,-3.133085195,3.130781495,1.805934466,0.042471808,1.848406274,4.440875047,1.4,63.42797269,4.585839039,14.48198769,36.55,335.803139,0.29095
16/09/2011_20:35:12,3399050113,2.231428346,9999,9999,1.689433524,3.920861871,1.25882809,0.012167127,1.270995218,4.429261116,0.4,385.0106206,8.561175138,14.03049454,35.95,313.079441,0.305419
16/09/2011_21:15:12,3399052513,1.840804974,9999,9999,2.012292498,3.853097472,1.242563485,0.006465077,1.249028561,4.428756157,0.2125,359.8190587,8.207605432,13.878228,35.95,331.59203,0.1721528
